,stature,weightkg,chestcircumference,waistcircumference
278,1603,829,1131,1127
279,1712,765,966,930
280,1628,671,908,907
281,1520,589,985,919
282,1640,615,896,839
283,1616,529,864,697
284,1684,847,1095,1088
285,1649,596,890,805
286,1677,666,965,844
287,1653,676,958,915
288,1638,658,926,862
289,1646,596,878,835
290,1619,735,951,1000
291,1530,556,858,789
292,1603,561,870,777
293,1680,560,875,796
294,1602,871,1139,1017
295,1447,736,1064,1074
296,1627,613,923,688
297,1594,505,861,713
298,1688,823,1057,1035
299,1547,561,896,827
300,1621,754,991,950
301,1625,593,904,805
302,1597,695,981,896
303,1602,820,1046,905
304,1614,583,952,833
305,1743,920,1067,1055
306,1603,841,1105,1071
307,1576,842,1196,1111
308,1619,660,999,871
309,1754,896,1052,969
310,1709,842,1014,942
311,1789,845,1048,964
312,1587,596,896,887
313,1687,688,943,838
314,1665,690,899,826
315,1573,748,996,950
316,1654,699,911,819
317,1582,691,1005,920
318,1575,566,873,744
319,1600,699,976,880
320,1584,468,834,740
321,1535,701,986,829
322,1593,832,1062,1029
323,1583,789,1004,973
324,1608,592,896,845
325,1663,583,861,828
326,1609,746,951,1020
327,1513,428,772,675
328,1704,853,1034,1007
329,1708,664,899,858
330,1506,577,955,804
331,1583,565,867,811
332,1731,714,971,864
333,1669,762,966,871
334,1640,556,800,824
335,1613,561,812,724
336,1640,641,946,849
337,1581,766,1008,918
338,1664,702,971,829
339,1562,561,918,799
340,1722,812,987,1017
341,1564,725,969,900
342,1589,686,979,917
343,1789,924,1017,970
344,1608,662,1058,884
345,1595,562,887,796
346,1590,564,859,785
347,1575,653,980,870
348,1539,679,1037,905
349,1654,777,984,958
350,1616,632,959,855
351,1646,697,988,869
352,1548,681,900,875
353,1617,570,827,722
354,1527,742,1089,1034
355,1653,589,895,757
356,1606,750,1024,995
357,1700,744,948,812
358,1672,815,1131,954
359,1728,765,988,928
360,1677,827,1098,1049
361,1790,793,1033,958
362,1643,735,960,912
363,1584,620,955,822
364,1583,659,1023,935
365,1640,705,1000,957
366,1562,493,866,707
367,1650,643,881,771
368,1656,654,950,806
369,1624,655,1020,1002
370,1631,856,1159,1044
371,1715,632,866,815
372,1607,648,908,752
373,1600,604,883,831
374,1571,702,993,880
375,1603,659,920,817
376,1599,771,1122,938
377,1602,524,829,797
378,1642,685,925,773
379,1715,1017,1096,1103
380,1634,487,862,679
381,1657,824,1059,1055
382,1626,724,1086,856
383,1536,617,968,868
384,1698,696,908,818
385,1652,753,956,846
386,1611,785,1043,1032
387,1764,812,1003,911
388,1586,485,825,650
389,1592,595,899,804
390,1782,740,958,880
391,1708,799,1028,970
392,1650,645,957,841
393,1612,725,1007,949
394,1660,600,842,766
395,1629,630,884,811
396,1630,762,992,978
397,1743,696,913,738
398,1688,818,1152,1001
399,1580,508,836,705
400,1610,665,957,901
401,1556,400,757,620
402,1585,736,985,1000
403,1685,770,1036,952
404,1592,630,943,823
405,1698,761,960,919
406,1648,690,875,886
407,1575,573,879,791
408,1602,617,935,794
409,1669,663,886,822
410,1637,850,1018,996
411,1690,601,929,798
412,1664,655,935,795
413,1710,716,932,940
414,1596,611,906,716
415,1656,1000,1150,1164
416,1586,791,991,870
417,1653,676,1000,886
418,1661,740,1045,831
419,1495,501,862,749
420,1633,587,900,811
421,1652,696,976,850
422,1596,599,899,779
423,1715,809,1003,1009
424,1724,788,995,939
425,1741,797,955,907
426,1707,746,910,851
427,1684,740,945,917
428,1586,569,892,780
429,1611,829,1066,1046
430,1658,770,1040,939
431,1673,751,980,909
432,1770,889,1100,1076
433,1574,661,872,799
434,1715,842,1059,1009
435,1525,558,852,865
436,1650,983,1142,1154
437,1537,535,870,814
438,1568,581,880,801
439,1569,684,892,830
440,1711,725,957,807
441,1639,757,1070,1073
442,1638,733,962,946
443,1756,704,930,845
444,1618,590,895,748
445,1745,835,1050,1003
446,1569,635,925,814
447,1668,546,895,782
448,1619,610,895,780
449,1657,820,1101,1016
450,1628,685,910,847
451,1660,574,903,803
452,1683,616,878,733
453,1672,678,846,866
454,1623,558,836,745
455,1672,588,870,705
456,1619,591,869,784
457,1558,511,794,712
458,1649,591,845,742
459,1730,671,880,805
460,1527,522,843,730
461,1670,565,838,761
462,1583,774,1077,1000
463,1643,730,963,885
464,1717,669,1012,800
465,1623,718,1000,945
466,1630,594,860,810
467,1710,680,925,808
468,1730,779,1002,961
469,1725,695,960,772
470,1680,755,957,928
471,1682,645,922,889
472,1680,843,1157,1050
473,1829,688,915,777
474,1675,643,885,866
475,1727,689,1040,842
476,1615,651,1003,842
477,1497,460,837,690
478,1613,610,871,750
479,1771,925,1115,950
480,1588,666,924,829
481,1736,821,997,995
482,1664,591,870,767
483,1584,722,1025,898
484,1712,770,1006,940
485,1658,617,876,787
486,1646,685,933,812
487,1723,689,966,820
488,1578,587,900,813
489,1671,742,1040,845
490,1580,820,1045,1011
491,1584,557,925,758
492,1670,648,975,814
493,1585,566,910,770
494,1638,584,952,809
495,1589,599,907,817
496,1659,785,1089,938
497,1550,654,943,845
498,1730,838,1047,995
499,1500,644,1027,907
500,1615,809,1038,983
501,1645,677,906,801
502,1727,847,1095,1029
503,1667,781,1032,1052
504,1519,552,981,848
505,1700,832,1113,955
506,1628,694,860,807
507,1600,786,1068,855
508,1747,851,1025,969
509,1583,678,925,900
510,1662,645,927,800
511,1697,618,873,720
512,1732,843,948,942
513,1647,793,982,1015
514,1589,727,1029,1019
515,1545,645,965,829
516,1659,755,1028,937
517,1522,555,891,885
518,1651,779,997,816
519,1767,763,1016,922
520,1608,785,1008,965
521,1605,717,997,931
522,1734,674,902,895
523,1661,730,972,829
524,1589,754,960,980
525,1741,776,912,800
526,1670,810,1079,1012
527,1680,667,865,801
528,1736,791,957,915
529,1682,763,990,937
530,1714,650,936,811
531,1546,513,856,691
532,1634,591,917,813
533,1568,658,930,890
534,1536,504,876,782
535,1584,685,962,927
536,1646,629,882,874
537,1664,568,891,765
538,1658,661,902,800
539,1738,683,910,734
540,1745,791,923,775
541,1595,907,1072,1061
542,1625,783,987,926
543,1623,709,967,865
544,1518,509,841,752
545,1525,623,1008,877
546,1557,664,919,900
547,1730,921,1093,1054
548,1601,671,983,903
549,1597,547,839,728
550,1743,784,1027,947
551,1683,590,925,754
552,1752,763,1015,921
553,1618,709,967,851
554,1620,703,1018,851
555,1649,581,862,790
556,1709,593,846,764
557,1587,753,1044,992
558,1632,662,917,816
559,1527,683,1057,965
560,1660,758,1034,975
561,1632,613,864,734
562,1742,730,942,820
563,1709,700,885,848
564,1619,751,1048,925
565,1675,738,996,927
566,1634,642,988,837
567,1679,595,892,802
568,1614,569,848,846
569,1684,596,861,778
570,1597,631,937,853
571,1610,589,855,730
572,1688,746,943,886
573,1725,864,997,929
574,1609,608,936,900
575,1585,504,810,759
576,1562,549,887,816
577,1547,530,897,770
578,1611,692,961,895
579,1740,713,1004,880
580,1555,705,972,904
581,1650,699,971,938
582,1583,659,913,906
583,1647,632,858,750
584,1532,696,946,845
585,1619,593,920,811
586,1704,695,902,888
587,1689,797,970,774
588,1657,619,911,846
589,1647,677,926,861
590,1670,544,892,724
591,1496,646,971,928
592,1717,882,1117,1026
593,1531,634,943,915
594,1666,765,981,987
595,1574,654,892,915
596,1663,837,1000,888
597,1617,652,975,863
598,1585,624,1005,857
599,1647,994,1195,1037
600,1643,748,1016,950
601,1677,649,901,877
602,1670,542,889,665
603,1651,814,983,885
604,1525,563,883,812
605,1715,967,1152,1096
606,1602,837,1148,1006
607,1570,502,855,685
608,1662,657,901,944
609,1561,707,983,973
610,1543,669,968,975
611,1562,597,923,853
612,1627,720,897,885
613,1678,750,940,816
614,1608,673,990,982
615,1672,784,906,856
616,1661,516,769,710
617,1574,630,1010,890
618,1670,793,1046,990
619,1585,564,895,793
620,1574,687,997,962
621,1617,590,846,727
622,1592,603,904,770
623,1705,699,991,930
624,1620,573,878,849
625,1579,654,957,882
626,1661,603,876,749
627,1595,771,955,935
628,1646,767,1062,903
629,1522,667,932,890
630,1760,783,928,900
631,1505,518,850,752
632,1708,663,838,803
633,1659,655,938,861
634,1613,690,1004,906
635,1666,680,905,870
636,1565,609,918,860
637,1578,646,859,785
638,1480,540,880,770
639,1636,530,829,756
640,1608,789,945,901
641,1552,431,825,658
642,1559,746,985,873
643,1595,712,998,1033
644,1674,727,1016,863
645,1661,613,845,761
646,1550,574,878,792
647,1597,655,902,832
648,1543,577,884,753
649,1636,585,837,760
650,1563,627,923,913
651,1506,535,905,779
652,1689,652,851,803
653,1600,702,992,878
654,1827,931,1021,1080
655,1594,532,824,742
656,1768,735,974,817
657,1658,557,783,759
658,1629,655,945,865
659,1672,691,975,855
660,1783,965,1013,967
661,1571,702,970,992
662,1525,523,838,736
663,1595,660,923,876
664,1708,814,1009,947
665,1818,952,1029,1000
666,1688,658,832,802
667,1568,503,782,695
668,1555,547,885,807
669,1645,688,988,918
670,1631,604,833,750
671,1563,669,919,881
672,1566,599,926,806
673,1585,616,870,875
674,1518,548,872,798
675,1590,604,838,716
676,1462,519,845,829
677,1599,640,930,943
678,1665,669,845,834
679,1712,791,1007,958
680,1634,598,908,796
681,1628,736,975,865
682,1625,825,1080,1052
683,1718,756,996,881
684,1604,595,773,767
685,1748,863,996,978
686,1650,686,935,936
687,1679,763,965,970
688,1635,725,995,904
689,1673,639,862,783
690,1643,559,856,772
691,1691,764,964,960
692,1672,699,969,871
693,1638,630,839,825
694,1676,606,803,734
695,1655,680,918,852
696,1675,654,914,813
697,1508,538,820,765
698,1679,731,1006,955
699,1692,766,970,882
700,1631,577,882,800
701,1533,598,909,827
702,1563,686,996,887
703,1655,708,908,830
704,1496,488,786,697
705,1777,766,935,857
706,1546,583,897,788
707,1685,685,906,936
708,1608,585,850,768
709,1632,719,929,833
710,1690,649,892,802
711,1655,583,798,742
712,1574,648,933,850
713,1659,564,841,758
714,1541,478,812,706
715,1675,591,843,775
716,1652,665,936,912
717,1593,649,945,886
718,1565,512,784,755
719,1530,496,804,765
720,1600,744,932,897
721,1615,680,927,868
722,1557,506,783,790
723,1679,591,846,785
724,1662,712,909,864
725,1696,844,1121,967
726,1657,547,892,760
727,1495,487,814,726
728,1644,612,939,842
729,1652,722,933,865
730,1566,567,894,888
731,1653,688,957,819
732,1604,542,787,739
733,1594,611,853,805
734,1627,672,989,880
735,1729,749,927,810
736,1602,585,883,803
737,1615,605,930,787
738,1645,601,862,787
739,1623,621,877,821
740,1595,609,830,723
741,1480,470,798,628
742,1696,786,955,951
743,1680,725,958,857
744,1590,516,787,726
745,1529,501,802,700
746,1551,626,917,860
747,1709,787,942,832
748,1589,572,947,818
749,1616,670,902,813
750,1643,535,825,705
751,1587,638,844,768
752,1691,752,888,779
753,1558,519,824,699
754,1611,602,843,768
755,1724,701,915,898
756,1623,782,958,900
757,1686,611,880,791
758,1587,631,1011,895
759,1546,540,803,710
760,1682,619,914,827
761,1519,577,848,812
762,1631,673,867,808
763,1525,608,909,789
764,1657,905,1110,1092
765,1653,682,975,815
766,1447,683,1018,937
767,1615,778,1068,1040
768,1732,648,958,854
769,1733,1082,1212,1076
770,1760,875,1004,1031
771,1669,788,1052,930
772,1602,844,1073,976
773,1611,667,910,916
774,1607,749,1057,927
775,1582,827,1043,1032
776,1636,695,902,925
777,1702,697,909,889
778,1591,528,783,708
779,1724,785,1036,925
780,1657,669,965,833
781,1591,556,830,827
782,1630,840,1077,1042
783,1730,831,945,961
784,1695,735,943,866
785,1598,763,948,911
786,1606,637,953,875
787,1644,700,975,906
788,1575,626,923,835
789,1642,607,881,787
790,1615,705,986,943
791,1570,689,988,913
792,1607,633,896,778
793,1626,564,823,722
794,1729,729,935,843
795,1501,618,932,782
796,1657,618,883,791
797,1614,546,813,761
798,1660,686,954,853
799,1675,641,884,725
800,1638,635,865,779
801,1584,634,869,834
802,1680,684,927,800
803,1667,680,896,835
804,1758,751,946,825
805,1688,851,950,962
806,1636,582,895,823
807,1607,709,910,846
808,1594,664,876,959
809,1694,757,962,907
810,1606,632,910,807
811,1687,674,863,853
812,1574,602,896,753
813,1603,616,898,839
814,1559,584,921,762
815,1659,717,914,861
816,1614,606,920,845
817,1630,648,869,818
818,1435,478,860,760
819,1672,751,951,885
820,1708,739,936,872
821,1676,686,1017,887
822,1609,620,844,788
823,1590,740,1000,937
824,1629,598,832,798
825,1598,645,888,826
826,1560,563,895,761
827,1688,686,919,822
828,1745,696,906,803
829,1673,631,865,791
830,1662,729,950,846
